player,position,opponent,expected_points,salary,ex_ppd,week,TEAM,OPP,MATCHUP,Start_Sit,Online_proj,rate_pas,att_pas,day_pas,g_number_pas,date_pas,age_pas,team_pas,home_away_pas,opp_pas,result_pas,cmp_pas,att_2_pas,inc_pas,cmp_percent_pas,yds_pas,td_pas,int_pas,pick6_pas,td_percent_pas,int_percent_pas,rate_2_pas,sk_pas,yds_2_pas,sk_percent_pas,y_a_pas,ay_a_pas,any_a_pas,y_c_pas,pos_pas,draft_pas,rk_rus,yds_rus,att_rus,day_rus,g_number_rus,age_rus,team_rus,home_away_rus,opp_rus,result_rus,att_2_rus,yds_2_rus,y_a_rus,td_rus,x1_rus,pos_rus,draft_rus,points,FPPG
Carson Wentz,QB,DAL,14.953057093929273,29,0.5156226584113542,4,WAS,at DAL,2 out of 5 stars,D+,16,56.6,42,Sun,4,NA,29-276,WAS,away,DAL,L 10-25,25,42,17,59.5,170,1,2,0,2.4,4.8,56.6,2,15,4.55,4,2.38,1.93,6.8,QB,1-2,92,5,1,Sun,4,29-276,WAS,away,DAL,L 10-25,1,5,5,0,0,QB,1-2,9.3,22.4
Derek Carr,QB,DEN,13.645002250975388,27,0.5053704537398291,4,LV,vs. DEN,3 out of 5 stars,B-,17.4,76.6,34,Sun,4,NA,31-188,LVR,home,DEN,W 32-23,21,34,13,61.8,188,0,0,0,0,0,76.6,2,15,5.56,5.5,5.53,4.81,9,QB,2-36,40,40,7,Sun,4,31-188,LVR,home,DEN,W 32-23,7,40,5.7,0,5,QB,2-36,11.52,18.9
Russell Wilson,QB,LV,16.005537441326005,30,0.5335179147108668,4,DEN,at LV,3 out of 5 stars,B,17.5,124.9,25,Sun,4,NA,33-307,DEN,away,LVR,L 23-32,17,25,8,68,237,2,0,0,8,0,124.9,3,23,10.71,9.5,11.08,9.07,13.9,QB,3-75,52,29,4,Sun,4,33-307,DEN,away,LVR,L 23-32,4,29,7.3,1,2,QB,3-75,26.380000000000003,13
Lamar Jackson,QB,BUF,23.10441674957693,39,0.5924209422968444,4,BAL,vs. BUF,1 out of 5 stars,A,22.7,63,29,Sun,4,NA,25-268,BAL,home,BUF,L 20-23,20,29,9,69,144,1,2,0,3.4,6.9,63,2,10,6.45,5,2.55,2.06,7.2,QB,1-32,18,73,11,Sun,4,25-268,BAL,home,BUF,L 20-23,11,73,6.6,0,4,QB,1-32,15.060000000000002,34.8
Jimmy Garoppolo,QB,LAR,14.76702119504016,28,0.5273936141085771,4,SF,vs. LAR,2 out of 5 stars,F,14.7,100.7,27,Mon,4,NA,30-335,SFO,home,LAR,W 24-9,16,27,11,59.3,239,1,0,0,3.7,0,100.7,0,0,0,8.9,9.59,9.59,14.9,QB,2-62,96,3,1,Mon,4,30-335,SFO,home,LAR,W 24-9,1,3,3,0,1,QB,2-62,13.860000000000001,13
Matt Ryan,QB,TEN,12.839123967197768,22,0.5835965439635349,4,IND,vs. TEN,3 out of 5 stars,F,15.2,109.7,37,Sun,4,NA,37-138,IND,home,TEN,L 17-24,27,37,10,73,356,2,1,0,5.4,2.7,109.7,3,29,7.5,9.6,9.49,8.05,13.2,QB,1-3,122,-4,2,Sun,4,37-138,IND,home,TEN,L 17-24,2,-4,-2,0,0,QB,1-3,20.84,12.1
Teddy Bridgewater,QB,CIN,11.397964016320817,22,0.5180892734691279,4,MIA,at CIN,3 out of 5 stars,F,1.1,84.1,23,Thu,4,NA,29-323,MIA,away,CIN,L 15-27,14,23,9,60.9,193,1,1,0,4.3,4.3,84.1,0,0,0,8.4,7.3,7.3,13.8,QB,1-32,75,11,1,Thu,4,29-323,MIA,away,CIN,L 15-27,1,11,11,0,1,QB,1-32,11.82,5.9
Trevor Lawrence,QB,PHI,15.071593138722829,26,0.5796766591816472,4,JAC,at PHI,3 out of 5 stars,C-,16.4,84.3,23,Sun,4,NA,22-361,JAX,away,PHI,L 21-29,11,23,12,47.8,174,2,1,0,8.7,4.3,84.3,4,26,14.81,7.6,7.35,5.3,15.8,QB,1-1,83,7,2,Sun,4,22-361,JAX,away,PHI,L 21-29,2,7,3.5,0,1,QB,1-1,14.66,19.4
Jared Goff,QB,SEA,15.37212410808988,26,0.5912355426188416,4,DET,vs. SEA,3 out of 5 stars,C+,17,121.5,39,Sun,4,NA,27-353,DET,home,SEA,L 45-48,26,39,13,66.7,378,4,1,1,10.3,2.6,121.5,1,9,2.5,9.7,10.59,10.1,14.5,QB,1-1,107,1,1,Sun,4,27-353,DET,home,SEA,L 45-48,1,1,1,0,0,QB,1-1,30.22,19.1
Tua Tagovailoa,QB,CIN,14.935929311724689,30,0.49786431039082296,4,MIA,at CIN,3 out of 5 stars,B,18.3,52.7,14,Thu,4,NA,24-211,MIA,away,CIN,L 15-27,8,14,6,57.1,110,0,1,0,0,7.1,52.7,1,10,6.67,7.9,4.64,3.67,13.8,QB,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4000000000000004,17.6
