,,,,,Games,,Receiving,,,,,,,,,,,Rushing,,,,,,,,Total Yds,,,,
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
70,Jakobi Meyers,NWE,26,WR,1,1,6,4,55,13.8,0,2,27,4,55,66.7%,9.2,1,7,0,1,7,7,7,1,5,12.4,62,0,0
71,Dalton Schultz,DAL,26,TE,1,1,9,7,62,8.9,0,2,14,7,62,77.8%,6.9,,,,0,,,,,7,8.9,62,0,0
72,Devin Singletary,BUF,25,RB,1,1,2,2,14,7,0,2,8,2,14,100.0%,7,8,48,0,2,13,6,48,8,10,6.2,62,0,0
73,Eno Benjamin,ARI,23,RB,1,0,4,3,33,11,0,1,22,3,33,75.0%,8.3,4,28,0,1,16,7,28,4,7,8.7,61,0,0
74,Breece Hall,NYJ,21,RB,1,0,9,6,38,6.3,0,2,16,6,38,66.7%,4.2,6,23,0,1,14,3.8,23,6,12,5.1,61,0,1
75,Mecole Hardman,KAN,24,WR,2,2,5,3,32.5,10.8,0.5,2,30,3,32.5,60.0%,6.5,0.5,-2,0,0,-4,-4,-2,0.5,3.5,8.7,30.5,1,0
76,Richie James,NYG,27,WR,1,0,6,5,59,11.8,0,3,16,5,59,83.3%,9.8,1,2,0,0,2,2,2,1,6,10.2,61,0,0
77,Dallas Goedert,PHI,27,TE,1,1,4,3,60,20,0,3,27,3,60,75.0%,15,,,,0,,,,,3,20,60,0,0
78,Joshua Kelley,LAC,25,RB,2,0,2,1.5,8.5,5.7,0,0.5,9,1.5,8.5,75.0%,4.3,4,21.5,0,1,12,5.4,21.5,4,5.5,5.5,30,0,0
79,Donovan Peoples-Jones,CLE,23,WR,1,1,11,6,60,10,0,3,15,6,60,54.5%,5.5,,,,0,,,,,6,10,60,0,0
80,Rashod Bateman,BAL,23,WR,1,1,5,2,59,29.5,1,1,55,2,59,40.0%,11.8,,,,0,,,,,2,29.5,59,1,0
81,Damien Harris,NWE,25,RB,1,1,3,2,10,5,0,1,8,2,10,66.7%,3.3,9,48,0,2,12,5.3,48,9,11,5.3,58,0,0
82,Terry McLaurin,WAS,27,WR,1,1,4,2,58,29,1,2,49,2,58,50.0%,14.5,,,,0,,,,,2,29,58,1,0
83,Christian McCaffrey,CAR,26,RB,1,1,5,4,24,6,0,1,21,4,24,80.0%,4.8,10,33,1,3,9,3.3,33,10,14,4.1,57,1,0
84,Michael Thomas,NOR,29,WR,1,1,8,5,57,11.4,2,4,21,5,57,62.5%,7.1,,,,0,,,,,5,11.4,57,2,0
85,Josh Allen,BUF,26,QB,1,1,0,0,0,,0,0,0,0,0,0.0%,,10,56,1,4,13,5.6,56,10,10,5.6,56,1,0
86,Treylon Burks,TEN,22,WR,1,0,5,3,55,18.3,0,2,27,3,55,60.0%,11,,,,0,,,,,3,18.3,55,0,0
87,James Conner,ARI,27,RB,1,1,6,5,29,5.8,0,3,11,5,29,83.3%,4.8,10,26,1,3,8,2.6,26,10,15,3.7,55,1,1
88,Diontae Johnson,PIT,26,WR,1,1,12,7,55,7.9,0,2,25,7,55,58.3%,4.6,,,,0,,,,,7,7.9,55,0,1
89,Chase Claypool,PIT,24,WR,1,1,6,4,18,4.5,0,1,6,4,18,66.7%,3,6,36,0,2,15,6,36,6,10,5.4,54,0,0
90,Devin Duvernay,BAL,25,WR,1,1,4,4,54,13.5,2,2,25,4,54,100.0%,13.5,,,,0,,,,,4,13.5,54,2,0
91,Nyheim Hines,IND,26,RB,1,0,6,6,50,8.3,0,3,15,6,50,100.0%,8.3,3,4,0,0,3,1.3,4,3,9,6,54,0,1
92,Trey Lance,SFO,22,QB,1,1,0,0,0,,0,0,0,0,0,0.0%,,13,54,0,6,13,4.2,54,13,13,4.2,54,0,1
93,Marquez Valdes-Scantling,KAN,28,WR,2,2,5.5,3,28.5,9.5,0,1.5,17,3,28.5,54.5%,5.2,0.5,-1.5,0,0,-3,-3,-1.5,0.5,3.5,7.7,27,0,0
94,Ian Thomas,CAR,26,TE,1,1,3,2,53,26.5,0,2,50,2,53,66.7%,17.7,,,,0,,,,,2,26.5,53,0,0
95,Mark Andrews,BAL,27,TE,1,1,7,5,52,10.4,0,3,17,5,52,71.4%,7.4,,,,0,,,,,5,10.4,52,0,0
96,Andrew Beck,DEN,26,FB,1,1,3,2,52,26,0,2,27,2,52,66.7%,17.3,,,,0,,,,,2,26,52,0,0
97,DJ Chark,DET,26,WR,1,1,8,4,52,13,1,3,22,4,52,50.0%,6.5,,,,0,,,,,4,13,52,1,0
98,Garrett Wilson,NYJ,22,WR,1,0,8,4,52,13,0,2,19,4,52,50.0%,6.5,,,,0,,,,,4,13,52,0,0
