,,Receiving,,,,,,,,,,,Receiving,,,,,,,,,
184,Andy Isabella,10,3,Sun,1,1,2022-09-11,25-297,ARI,,KAN,L 21-44,3,1,10,10,0,33.3,3.3,1,WR,2-62
185,Brandon Powell,10,1,Thu,1,1,2022-09-08,26-361,LAR,,BUF,L 10-31,1,1,10,10,0,100,10,1,WR,
186,Mike Williams,10,4,Sun,1,1,2022-09-11,27-342,LAC,,LVR,W 24-19,4,2,10,5,0,50,2.5,,WR,1-7
187,Tyler Kroft,9,2,Sun,1,1,2022-09-11,29-331,SFO,@,CHI,L 10-19,2,1,9,9,0,50,4.5,,TE,3-85
188,DeVante Parker,9,2,Sun,1,1,2022-09-11,29-234,NWE,@,MIA,L 7-20,2,1,9,9,0,50,4.5,1,WR,1-14
189,Miles Sanders,9,2,Sun,1,1,2022-09-11,25-133,PHI,@,DET,W 38-35,2,2,9,4.5,0,100,4.5,0,RB,2-53
190,Alec Ingold,8,2,Sun,1,1,2022-09-11,26-064,MIA,,NWE,W 20-7,2,1,8,8,0,50,4,0,FB,
191,Darnell Mooney,8,3,Sun,1,1,2022-09-11,24-317,CHI,,SFO,W 19-10,3,1,8,8,0,33.3,2.7,,WR,5-173
192,Trent Sherfield,8,2,Sun,1,1,2022-09-11,26-197,MIA,,NWE,W 20-7,2,1,8,8,0,50,4,,WR,
193,Avery Williams,8,1,Sun,1,1,2022-09-11,24-058,ATL,,NOR,L 26-27,1,1,8,8,0,100,8,,RB,5-183
194,Jeff Wilson,8,2,Sun,1,1,2022-09-11,26-299,SFO,@,CHI,L 10-19,2,2,8,4,0,100,4,,RB,
195,Cameron Brate,7,3,Sun,1,1,2022-09-11,31-070,TAM,@,DAL,W 19-3,3,1,7,7,0,33.3,2.3,1,TE,
196,Justice Hill,7,2,Sun,1,1,2022-09-11,24-301,BAL,@,NYJ,W 24-9,2,2,7,3.5,0,100,3.5,,RB,4-113
197,Alvin Kamara,7,4,Sun,1,1,2022-09-11,27-048,NOR,@,ATL,W 27-26,4,3,7,2.3,0,75,1.8,1,RB,3-67
198,David Njoku,7,1,Sun,1,1,2022-09-11,26-063,CLE,@,CAR,W 26-24,1,1,7,7,0,100,7,,TE,1-29
199,Zach Pascal,7,1,Sun,1,1,2022-09-11,27-267,PHI,@,DET,W 38-35,1,1,7,7,0,100,7,1,WR,
200,Rashaad Penny,7,3,Mon,1,1,2022-09-12,26-222,SEA,,DEN,W 17-16,3,2,7,3.5,0,66.7,2.3,1,RB,1-27
