player,Position_yah,combined_fppd,combined_projection,TEAM,Opponent_yah,Salary_yah,expected_points,ex_ppd,Online_proj,MATCHUP,Start_Sit
Robert Woods,WR,0.6522323237479861,11.74018182746375,TEN,WAS,18,12.44311689637679,0.6912842720209328,10.1,4 out of 5 stars,C+
Robert Tonyan,TE,0.4311056416736221,5.604373341757087,GB,NYG,13,5.2633904882244105,0.40487619140187775,6.4,4 out of 5 stars,D+
Will Dissly,TE,0.3499229506519466,3.849152457171413,SEA,NO,11,3.441646367387733,0.3128769424897939,4.8,2 out of 5 stars,F
Mecole Hardman,WR,0.5577152642331481,6.134867906564629,KC,LV,11,6.192668437949472,0.5629698579954066,6,3 out of 5 stars,F
Jarvis Landry,WR,0.6341803564715077,8.2443446341296,NO,SEA,13,8.691920905899428,0.6686093004538022,7.2,3 out of 5 stars,D+
Donovan Peoples Jones,WR,0.5473354561986279,7.115360930582162,CLE,LAC,13,7.550515615117375,0.5808088934705673,6.1,3 out of 5 stars,D-
Corey Davis,WR,0.5511824905697245,9.92128483025504,NYJ,MIA,18,10.616121186078628,0.5897845103377015,8.3,2 out of 5 stars,C
Nelson Agholor,WR,0.5108274913886472,6.640757388052414,NE,DET,13,6.658224840074878,0.5121711415442214,6.6,3 out of 5 stars,D
DeVante Parker,WR,0.5773195125201708,8.659792687802561,NE,DET,15,9.156846696860804,0.6104564464573871,7.5,3 out of 5 stars,C-
Marquez Valdes Scantling,WR,0.5003443264332115,7.00482057006496,KC,LV,14,6.535457957235659,0.4668184255168328,8.1,3 out of 5 stars,C
Zay Jones,WR,0.515851813902878,7.221925394640293,JAC,HOU,14,6.759893420914704,0.482849530065336,8.3,3 out of 5 stars,C
Olamide Zaccheaus,WR,0.5136066984792369,5.649673683271606,ATL,TB,11,5.842390976102295,0.5311264523729359,5.2,2 out of 5 stars,F
Michael Gallup,WR,0.477930821399426,8.124823963790242,DAL,LAR,17,8.178319948271774,0.48107764401598674,8,3 out of 5 stars,C-
Rondale Moore,WR,0.3880080350366178,5.8201205255492665,ARI,PHI,15,5.357315036498953,0.3571543357665969,6.9,2 out of 5 stars,D
Jamal Agnew,WR,0.5001953825823563,5.502149208405919,JAC,HOU,11,5.717356012008457,0.5197596374553143,5,3 out of 5 stars,F
Josh Reynolds,WR,0.5739219479578834,7.460985323452485,DET,NE,13,6.62997903350355,0.5099983871925807,9.4,4 out of 5 stars,C
Devin Duvernay,WR,0.4524742210374514,5.882164873486868,BAL,CIN,13,4.974521247838384,0.3826554806029526,8,3 out of 5 stars,C-
Julio Jones,WR,0.3341685940164494,5.6808660982796395,TB,ATL,17,5.586951568970914,0.3286442099394655,5.9,3 out of 5 stars,F
Jerry Jeudy,WR,0.6087309107291733,9.1309636609376,DEN,IND,15,8.115662372768,0.5410441581845333,11.5,5 out of 5 stars,B-
Mack Hollins,WR,0.3757953436779086,6.012725498846538,LV,KC,16,5.161036426923626,0.32256477668272665,8,3 out of 5 stars,C-
Isaiah McKenzie,WR,0.3107608963754187,4.661413445631281,BUF,PIT,15,3.4877334937589723,0.23251556625059816,7.4,4 out of 5 stars,C-
Chris Olave,WR,0.2562657866063182,5.1253157321263645,NO,SEA,20,1.8790224744662356,0.09395112372331178,12.7,3 out of 5 stars,A-
DK Metcalf,WR,0.2272614676490129,4.999752288278284,SEA,NO,22,1.4425032689689763,0.06556833040768074,13.3,2 out of 5 stars,A-
Noah Brown,WR,0.21520096096585753,3.4432153754537205,DAL,LAR,16,1.7903076792196009,0.11189422995122504,7.3,3 out of 5 stars,D+
Curtis Samuel,WR,0.239860014105952,4.79720028211904,WAS,TEN,20,1.7960004030272,0.08980002015136,11.8,3 out of 5 stars,B
Garrett Wilson,WR,0.22498917271381447,4.499783454276289,NYJ,MIA,20,1.8425477918232716,0.09212738959116358,10.7,2 out of 5 stars,C+
Drake London,WR,0.29064471345413334,5.2316048421744,ATL,TB,18,2.073721203106286,0.11520673350590475,12.6,2 out of 5 stars,B+
JuJu Smith Schuster,WR,0.23069847931150994,3.921874148295669,KC,LV,17,1.0169630689938134,0.05982135699963608,10.7,3 out of 5 stars,C+
Greg Dortch,WR,0.22028136288875597,2.4230949917763156,ARI,PHI,11,1.2329928453947367,0.1120902586722488,5.2,2 out of 5 stars,F
Romeo Doubs,WR,0.3231300520239832,4.2006906763117815,GB,NYG,13,1.1581295375882596,0.0890868875067892,11.3,4 out of 5 stars,B-
