,,Receiving,,,,,,,,,,,,Receiving,,,,,,,,,
181,Michael Bandy,4,2,4,Mon,6,6,2022-10-17,24-316,LAC,,DEN,W 19-16 (OT),2,1,4,4,0,50,2,1,WR,
182,Zach Gentry,4,1,4,Sun,6,6,2022-10-16,26-036,PIT,,TAM,W 20-18,1,1,4,4,0,100,4,,TE,5-141
183,Tylan Wallace,4,1,4,Sun,6,6,2022-10-16,23-156,BAL,@,NYG,L 20-24,1,1,4,4,0,100,4,,WR,4-131
184,Mike Boone,3,4,3,Mon,6,6,2022-10-17,27-079,DEN,@,LAC,L 16-19 (OT),4,1,3,3,0,25,0.8,,RB,
185,MyCole Pruitt,2,1,2,Sun,6,6,2022-10-16,30-206,ATL,,SFO,W 28-14,1,1,2,2,1,100,2,1,TE,5-143
186,Avery Williams,2,1,2,Sun,6,6,2022-10-16,24-093,ATL,,SFO,W 28-14,1,1,2,2,0,100,2,,RB,5-183
187,Chuba Hubbard,1,1,1,Sun,6,6,2022-10-16,23-127,CAR,@,LAR,L 10-24,1,1,1,1,0,100,1,0,RB,4-126
188,Johnny Mundt,1,2,1,Sun,6,6,2022-10-16,27-327,MIN,@,MIA,W 24-16,2,2,1,0.5,0,100,0.5,,TE,
189,James Robinson,1,1,1,Sun,6,6,2022-10-16,24-068,JAX,@,IND,L 27-34,1,1,1,1,0,100,1,0,RB,
190,Miles Sanders,1,1,1,Sun,6,6,2022-10-16,25-168,PHI,,DAL,W 26-17,1,1,1,1,0,100,1,0,RB,2-53
191,Dyami Brown,0,1,0,Thu,6,6,2022-10-13,22-346,WAS,@,CHI,W 12-7,1,0,0,,0,0,0,,WR,3-82
192,Michael Burton,0,1,0,Sun,6,6,2022-10-16,30-257,KAN,,BUF,L 20-24,1,0,0,,0,0,0,,FB,5-168
193,Tanner Conner,0,2,0,Sun,6,6,2022-10-16,24-210,MIA,,MIN,L 16-24,2,0,0,,0,0,0,,TE,
194,River Cracraft,0,1,0,Sun,6,6,2022-10-16,27-349,MIA,,MIN,L 16-24,1,0,0,,0,0,0,,WR,
195,Ryan Griffin,0,1,0,Thu,6,6,2022-10-13,32-275,CHI,,WAS,L 7-12,1,0,0,,0,0,0,,TE,6-201
196,Zander Horvath,0,1,0,Mon,6,6,2022-10-17,23-311,LAC,,DEN,W 19-16 (OT),1,1,0,0,0,100,0,,FB,7-260
197,Kareem Hunt,0,1,0,Sun,6,6,2022-10-16,27-071,CLE,,NWE,L 15-38,1,0,0,,0,0,0,,RB,3-86
198,Terrace Marshall Jr.,0,1,0,Sun,6,6,2022-10-16,22-129,CAR,@,LAR,L 10-24,1,0,0,,0,0,0,,WR,2-59
199,Ray-Ray McCloud,0,1,0,Sun,6,6,2022-10-16,26-001,SFO,@,ATL,L 14-28,1,0,0,,0,0,0,,WR,6-187
200,J.D. McKissic,0,3,0,Thu,6,6,2022-10-13,29-059,WAS,@,CHI,W 12-7,3,0,0,,0,0,0,0,RB,
