,,Rushing,,,,,,,,,,,,Rushing,,,,,,
Rk,Player,Yds,Att,Yds,Day,G#,Week,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,1D,Pos.,Draft
109,Jacoby Brissett,0,1,0,Sun,6,6,2022-10-16,29-309,CLE,,NWE,L 15-38,1,0,0,0,0,QB,3-91
110,Clayton Fejedelem,0,1,0,Sun,6,6,2022-10-16,29-136,MIA,,MIN,L 16-24,1,0,0,0,,S,7-245
111,Ronnie Rivers,0,1,0,Sun,6,6,2022-10-16,23-258,LAR,,CAR,W 24-10,1,0,0,0,0,RB,
112,Aaron Rodgers,0,1,0,Sun,6,6,2022-10-16,38-318,GNB,,NYJ,L 10-27,1,0,0,0,0,QB,1-24
113,Ihmir Smith-Marsette,-1,1,-1,Thu,6,6,2022-10-13,23-045,CHI,,WAS,L 7-12,1,-1,-1,0,,WR,5-157
114,P.J. Walker,-1,1,-1,Sun,6,6,2022-10-16,27-232,CAR,@,LAR,L 10-24,1,-1,-1,0,0,QB,
115,Matthew Stafford,-3,2,-3,Sun,6,6,2022-10-16,34-251,LAR,,CAR,W 24-10,2,-3,-1.5,0,0,QB,1-1
116,Quez Watkins,-3,1,-3,Sun,6,6,2022-10-16,24-129,PHI,,DAL,W 26-17,1,-3,-3,0,,WR,6-200
117,Matt Ryan,-4,1,-4,Sun,6,6,2022-10-16,37-152,IND,,JAX,W 34-27,1,-4,-4,0,0,QB,1-3
118,Bailey Zappe,-4,3,-4,Sun,6,6,2022-10-16,23-173,NWE,@,CLE,W 38-15,3,-4,-1.3,0,0,QB,4-137
119,Kirk Cousins,-5,2,-5,Sun,6,6,2022-10-16,34-058,MIN,@,MIA,W 24-16,2,-5,-2.5,0,0,QB,4-102
120,Steven Sims,-5,1,-5,Sun,6,6,2022-10-16,25-199,PIT,,TAM,W 20-18,1,-5,-5,0,,WR,
121,Matt Breida,-6,3,-6,Sun,6,6,2022-10-16,27-230,NYG,,BAL,W 24-20,3,-6,-2,0,0,RB,
122,Michael Dickson,-10,1,-10,Sun,6,6,2022-10-16,26-285,SEA,,ARI,W 19-9,1,-10,-10,0,,P,5-149
