player,Position_yah,Opponent_yah,expected_points,Salary_yah,home_away,ex_ppd
Tyrie Cleveland,NA,NA,NA,NA,NA,NA
Chuba Hubbard,NA,NA,NA,NA,NA,NA
Tre McKitty,NA,NA,NA,NA,NA,NA
Jeff Smith,NA,NA,NA,NA,NA,NA
Jaelon Darden,NA,NA,NA,NA,NA,NA
Velus Jones Jr,NA,NA,NA,NA,NA,NA
Jalen Reagor,NA,NA,NA,NA,NA,NA
Tyler Davis,NA,NA,NA,NA,NA,NA
Alec Ingold,NA,NA,NA,NA,NA,NA
Andre Baccellia,NA,NA,NA,NA,NA,NA
Simi Fehoko,NA,NA,NA,NA,NA,NA
Trey McBride,NA,NA,NA,NA,NA,NA
Dax Milne,NA,NA,NA,NA,NA,NA
Armani Rogers,NA,NA,NA,NA,NA,NA
Kadarius Toney,NA,NA,NA,NA,NA,NA
Cole Turner,NA,NA,NA,NA,NA,NA
Trevon Wesco,NA,NA,NA,NA,NA,NA
Dee Eskridge,NA,NA,NA,NA,NA,NA
Kenny Golladay,NA,NA,NA,NA,NA,NA
C J Ham,NA,NA,NA,NA,NA,NA
Andy Isabella,NA,NA,NA,NA,NA,NA
Jake Ferguson,NA,NA,NA,NA,NA,NA
Lil Jordan Humphrey,NA,NA,NA,NA,NA,NA
Tony Jones Jr,NA,NA,NA,NA,NA,NA
Gary Brightwell,NA,NA,NA,NA,NA,NA
Ryan Griffin,NA,NA,NA,NA,NA,NA
Ko Kieft,NA,NA,NA,NA,NA,NA
Trey Sermon,NA,NA,NA,NA,NA,NA
Mike Davis,NA,NA,NA,NA,NA,NA
D Onta Foreman,NA,NA,NA,NA,NA,NA
Gunner Olszewski,NA,NA,NA,NA,NA,NA
Dwayne Washington,NA,NA,NA,NA,NA,NA
C J Uzomah,NA,NA,NA,NA,NA,NA
Tylan Wallace,NA,NA,NA,NA,NA,NA
Penny Hart,NA,NA,NA,NA,NA,NA
Chris Manhertz,NA,NA,NA,NA,NA,NA
Ihmir Smith Marsette,NA,NA,NA,NA,NA,NA
River Cracraft,NA,NA,NA,NA,NA,NA
Deonte Harty,NA,NA,NA,NA,NA,NA
Ty Montgomery,NA,NA,NA,NA,NA,NA
Jalen Nailor,NA,NA,NA,NA,NA,NA
Cam Sims,NA,NA,NA,NA,NA,NA
Stephen Sullivan,NA,NA,NA,NA,NA,NA
Bryan Edwards,NA,NA,NA,NA,NA,NA
Connor Heyward,NA,NA,NA,NA,NA,NA
Zander Horvath,NA,NA,NA,NA,NA,NA
Kyle Rudolph,NA,NA,NA,NA,NA,NA
Miles Boykin,NA,NA,NA,NA,NA,NA
Jody Fortson,NA,NA,NA,NA,NA,NA
Chris Myarick,NA,NA,NA,NA,NA,NA
Michael Burton,NA,NA,NA,NA,NA,NA
