player,Position_yah,Opponent_yah,expected_points,Salary_yah,home_away,ex_ppd
Nick Bawden,NA,NA,NA,NA,NA,NA
Patrick Taylor,NA,NA,NA,NA,NA,NA
Amari Rodgers,NA,NA,NA,NA,NA,NA
Samori Toure,NA,NA,NA,NA,NA,NA
Jack Coco,NA,NA,NA,NA,NA,NA
New York Jets,NA,NA,NA,NA,NA,NA
Green Bay Packers,NA,NA,NA,NA,NA,NA
Kylin Hill,NA,NA,NA,NA,NA,NA
JaMycal Hasty,NA,NA,NA,NA,NA,NA
Luke Farrell,NA,NA,NA,NA,NA,NA
Tim Jones,NA,NA,NA,NA,NA,NA
Snoop Conner,NA,NA,NA,NA,NA,NA
Kendric Pryor,NA,NA,NA,NA,NA,NA
Willie Johnson,NA,NA,NA,NA,NA,NA
Drew Ogletree,NA,NA,NA,NA,NA,NA
Jacksonville Jaguars,NA,NA,NA,NA,NA,NA
Indianapolis Colts,NA,NA,NA,NA,NA,NA
Andrew DePaola,NA,NA,NA,NA,NA,NA
Kene Nwangwu,NA,NA,NA,NA,NA,NA
Ty Chandler,NA,NA,NA,NA,NA,NA
Bisi Johnson,NA,NA,NA,NA,NA,NA
Thomas Hennigan,NA,NA,NA,NA,NA,NA
Salvon Ahmed,NA,NA,NA,NA,NA,NA
Hunter Long,NA,NA,NA,NA,NA,NA
Erik Ezukanma,NA,NA,NA,NA,NA,NA
Tanner Conner,NA,NA,NA,NA,NA,NA
John Lovett,NA,NA,NA,NA,NA,NA
Adam Shaheen,NA,NA,NA,NA,NA,NA
Minnesota Vikings,NA,NA,NA,NA,NA,NA
Miami Dolphins,NA,NA,NA,NA,NA,NA
Blake Proehl,NA,NA,NA,NA,NA,NA
Trent Taylor,NA,NA,NA,NA,NA,NA
Drew Sample,NA,NA,NA,NA,NA,NA
Trayveon Williams,NA,NA,NA,NA,NA,NA
Stanley Morgan,NA,NA,NA,NA,NA,NA
Devin Asiasi,NA,NA,NA,NA,NA,NA
Cal Adomitis,NA,NA,NA,NA,NA,NA
Clark Harris,NA,NA,NA,NA,NA,NA
Elijah Holyfield,NA,NA,NA,NA,NA,NA
Zach Wood,NA,NA,NA,NA,NA,NA
Cincinnati Bengals,NA,NA,NA,NA,NA,NA
New Orleans Saints,NA,NA,NA,NA,NA,NA
J P Holtz,NA,NA,NA,NA,NA,NA
Dylan Soehner,NA,NA,NA,NA,NA,NA
Nick Boyle,NA,NA,NA,NA,NA,NA
James Proche II,NA,NA,NA,NA,NA,NA
Charlie Kolar,NA,NA,NA,NA,NA,NA
Slade Bolden,NA,NA,NA,NA,NA,NA
Collin Johnson,NA,NA,NA,NA,NA,NA
Baltimore Ravens,NA,NA,NA,NA,NA,NA
New York Giants,NA,NA,NA,NA,NA,NA
Gus Edwards,NA,NA,NA,NA,NA,NA
Ke Shawn Vaughn,NA,NA,NA,NA,NA,NA
Giovani Bernard,NA,NA,NA,NA,NA,NA
Kenjon Barner,NA,NA,NA,NA,NA,NA
Benny Snell Jr,NA,NA,NA,NA,NA,NA
Steven Sims Jr,NA,NA,NA,NA,NA,NA
Calvin Austin III,NA,NA,NA,NA,NA,NA
Anthony Miller,NA,NA,NA,NA,NA,NA
Jeremy McNichols,NA,NA,NA,NA,NA,NA
Tampa Bay Buccaneers,NA,NA,NA,NA,NA,NA
Pittsburgh Steelers,NA,NA,NA,NA,NA,NA
Rashard Higgins,NA,NA,NA,NA,NA,NA
Raheem Blackshear,NA,NA,NA,NA,NA,NA
Andre Roberts,NA,NA,NA,NA,NA,NA
Jake Funk,NA,NA,NA,NA,NA,NA
