,,Receiving,,,,,,,,,,,Receiving,,,,,,,,,
186,Jamison Crowder,9,3,Sun,3,3,2022-09-25,29-100,BUF,@,MIA,L 19-21,3,1,9,9,0,33.3,3,,WR,4-105
187,Evan Engram,9,3,Sun,3,3,2022-09-25,28-023,JAX,@,LAC,W 38-10,3,1,9,9,0,33.3,3,1,TE,1-23
188,Sony Michel,9,2,Sun,3,3,2022-09-25,27-220,LAC,,JAX,L 10-38,2,1,9,9,0,50,4.5,0,RB,1-31
189,Adam Trautman,9,1,Sun,3,3,2022-09-25,25-232,NOR,@,CAR,L 14-22,1,1,9,9,0,100,9,,TE,3-105
190,Mitchell Wilcox,9,1,Sun,3,3,2022-09-25,25-322,CIN,@,NYJ,W 27-12,1,1,9,9,0,100,9,,TE,
191,Hunter Henry,8,1,Sun,3,3,2022-09-25,27-292,NWE,,BAL,L 26-37,1,1,8,8,0,100,8,1,TE,2-35
192,Isaiah Likely,8,2,Sun,3,3,2022-09-25,22-160,BAL,@,NWE,W 37-26,2,1,8,8,0,50,4,,TE,4-139
193,Josh Oliver,8,2,Sun,3,3,2022-09-25,25-188,BAL,@,NWE,W 37-26,2,2,8,4,1,100,4,1,TE,3-69
194,Eno Benjamin,7,4,Sun,3,3,2022-09-25,23-165,ARI,,LAR,L 12-20,4,2,7,3.5,0,50,1.8,0,RB,7-222
195,Michael Carter,7,2,Sun,3,3,2022-09-25,23-141,NYJ,,CIN,L 12-27,2,1,7,7,0,50,3.5,0,RB,4-107
196,Ashton Dulin,7,1,Sun,3,3,2022-09-25,25-133,IND,,KAN,W 20-17,1,1,7,7,0,100,7,1,WR,
197,Kylen Granson,7,2,Sun,3,3,2022-09-25,24-182,IND,,KAN,W 20-17,2,2,7,3.5,0,100,3.5,,TE,4-127
198,Hayden Hurst,7,2,Sun,3,3,2022-09-25,29-032,CIN,@,NYJ,W 27-12,2,1,7,7,0,50,3.5,1,TE,1-25
199,Christian McCaffrey,7,4,Sun,3,3,2022-09-25,26-110,CAR,,NOR,W 22-14,4,2,7,3.5,0,50,1.8,0,RB,1-8
200,Tommy Tremble,7,1,Sun,3,3,2022-09-25,22-115,CAR,,NOR,W 22-14,1,1,7,7,0,100,7,,TE,3-83
