,,,,,Games,,Receiving,,,,,,,,,,,Rushing,,,,,,,,Total Yds,,,,
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
80,Raheem Mostert,MIA,30,RB,2,1,2,2,22,11,0,1.5,16,2,22,100.0%,11,8,33.5,0,1.5,11,4.2,33.5,8,10,5.6,55.5,0,0
81,Sammy Watkins,GNB,29,WR,2,2,3.5,3,55.5,18.5,0,2.5,55,3,55.5,85.7%,15.9,,,,0,,,,,3,18.5,55.5,0,0
82,Brandon Aiyuk,SFO,24,WR,2,2,5.5,3.5,51.5,14.7,0,2,31,3.5,51.5,63.6%,9.4,0.5,3.5,0,0,7,7,3.5,0.5,4,13.8,55,0,0
83,Tyler Higbee,LAR,29,TE,2,2,10,6,55,9.2,0,3.5,18,6,55,60.0%,5.5,,,,0,,,,,6,9.2,55,0,0
84,CeeDee Lamb,DAL,23,WR,2,2,11,4.5,52,11.6,0,3,24,4.5,52,40.9%,4.7,0.5,3,0,0.5,6,6,3,0.5,5,11,55,0,0
85,Derrick Henry,TEN,28,RB,2,2,0.5,0,0,,0,0,0,0,0,0.0%,0,17,53.5,0.5,1,18,3.1,53.5,17,17,3.1,53.5,1,0.5
86,James Conner,ARI,27,RB,2,2,5,3.5,27.5,7.9,0,2,21,3.5,27.5,70.0%,5.5,8.5,25.5,0.5,2,8,3,25.5,8.5,12,4.4,53,1,0.5
87,Chase Edmonds,MIA,26,RB,2,1,3.5,2.5,24,9.6,0,1.5,15,2.5,24,71.4%,6.9,8.5,29,0,1,28,3.4,29,8.5,11,4.8,53,0,0
88,Sterling Shepard,NYG,29,WR,2,1,7,4,52.5,13.1,0.5,1,65,4,52.5,57.1%,7.5,,,,0,,,,,4,13.1,52.5,1,0
89,Treylon Burks,TEN,22,WR,2,1,5.5,3.5,51,14.6,0,2.5,27,3.5,51,63.6%,9.3,,,,0,,,,,3.5,14.6,51,0,0
90,Ezekiel Elliott,DAL,27,RB,2,2,2,1,-3.5,-3.5,0,0,-3,1,-3.5,50.0%,-1.8,12.5,52.5,0,3,11,4.2,52.5,12.5,13.5,3.6,49,0,0
91,Tee Higgins,CIN,23,WR,2,2,6,4,49,12.3,0.5,3.5,19,4,49,66.7%,8.2,,,,0,,,,,4,12.3,49,1,0
92,Taysom Hill,NOR,32,TE,2,1,0.5,0.5,1,2,0,0,2,0.5,1,100.0%,2,3.5,47.5,0.5,1.5,57,13.6,47.5,3.5,4,12.1,48.5,1,0
93,Devin Duvernay,BAL,25,WR,2,2,3,3,48,16,1,2,26,3,48,100.0%,16,,,,0,,,,,3,16,48,2,0
94,KhaDarel Hodge,ATL,27,WR,2,1,3,2.5,47.5,19,0,1.5,39,2.5,47.5,83.3%,15.8,,,,0,,,,,2.5,19,47.5,0,0
95,D.J. Moore,CAR,25,WR,2,2,6,3,43,14.3,0.5,2,29,3,43,50.0%,7.2,0.5,3.5,0,0,7,7,3.5,0.5,3.5,13.3,46.5,1,0
96,Nyheim Hines,IND,26,RB,2,1,5.5,5,43.5,8.7,0,2,19,5,43.5,90.9%,7.9,2,2,0,0,3,1,2,2,7,6.5,45.5,0,0.5
