player,Position_yah,TEAM,Opponent_yah,home_away,combined_projection,Salary_yah,combined_fppd,expected_points,ex_ppd,Online_proj,MATCHUP,Start_Sit
Gabe Davis,WR,BUF,KC,Away,12.322292592592591,24,0.5134288580246913,12.503275132275132,0.5209697971781305,11.9,3 out of 5 stars,A-
Garrett Wilson,WR,NYJ,GB,Away,8.862707027027028,16,0.5539191891891893,8.675295752895753,0.5422059845559846,9.3,3 out of 5 stars,C+
Drake London,WR,ATL,SF,Home,10.148906441044348,18,0.5638281356135749,10.084152058634784,0.5602306699241546,10.3,4 out of 5 stars,B
JuJu Smith Schuster,WR,KC,BUF,Home,6.718406437125749,14,0.4798861740804106,5.569152053036784,0.39779657521691314,9.4,3 out of 5 stars,C+
George Pickens,WR,PIT,TB,Home,7.227649485768954,16,0.45172809286055965,6.510927836812792,0.4069329898007995,8.9,3 out of 5 stars,C+
DJ Moore,WR,CAR,LAR,Away,8.182240892441715,16,0.5113900557776072,7.660344132059595,0.47877150825372466,9.4,3 out of 5 stars,C+
Romeo Doubs,WR,GB,NYJ,Home,8.144866195608426,15,0.5429910797072284,7.521237422297751,0.5014158281531834,9.6,3 out of 5 stars,B-
Alec Pierce,WR,IND,JAX,Home,6.804901438327814,14,0.48606438845198674,6.421287769039735,0.4586634120742668,7.7,4 out of 5 stars,C
Marvin Jones Jr,WR,JAC,IND,Away,6.466298146496958,12,0.5388581788747465,6.151854494995654,0.5126545412496378,7.2,4 out of 5 stars,C-
Robbie Anderson,WR,CAR,LAR,Away,6.431652801564123,13,0.49474252319724027,6.31664685937732,0.48589591225979384,6.7,3 out of 5 stars,D+
Joshua Palmer,WR,LAC,DEN,Home,5.807554402834008,11,0.5279594911667279,5.253649146905726,0.4776044679005205,7.1,3 out of 5 stars,C-
Richie James Jr,WR,NYG,BAL,Home,6.637304114020898,12,0.5531086761684082,6.696148734315569,0.5580123945262975,6.5,3 out of 5 stars,D
Equanimeous St Brown,WR,CHI,WAS,Home,4.990470908892022,13,0.38388237760707866,4.943529869845746,0.3802715284496728,5.1,4 out of 5 stars,F
Irv Smith Jr,TE,MIN,MIA,Away,5.480353888076673,13,0.4215656836982056,5.129076982966676,0.39454438330512887,6.3,4 out of 5 stars,C-
Dyami Brown,WR,WAS,CHI,Away,3.9052776047105078,11,0.3550252367918643,3.2646822924435828,0.296789299313053,5.4,3 out of 5 stars,F
Allen Robinson II,WR,LAR,CAR,Home,5.2658325376766815,12,0.43881937813972344,4.565475053823832,0.38045625448531933,6.9,3 out of 5 stars,C-
Daniel Bellinger,TE,NYG,BAL,Home,6.2507963502237,12,0.520899695851975,6.8725662146052855,0.5727138512171072,4.8,4 out of 5 stars,D-
Khalil Shakir,WR,BUF,KC,Away,5.794037037037037,14,0.41385978835978837,5.620052910052911,0.40143235071806505,6.2,3 out of 5 stars,D-
David Sills V,WR,NYG,BAL,Home,3.4670185225666366,12,0.28891821021388636,3.1528836036666235,0.26274030030555195,4.2,3 out of 5 stars,F
