,,Receiving,,,,,,,,,,,,Receiving,,,,,,,,,
Rk,Player,Yds,Tgt,Yds,Day,G#,Week,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Pos.,Draft
115,Marquez Valdes-Scantling,18,4,18,Sun,10,11,2022-11-20,28-041,KAN,@,LAC,W 30-27,4,1,18,18,0,25,4.5,1,WR,5-174
116,Austin Ekeler,17,2,17,Sun,10,11,2022-11-20,27-187,LAC,,KAN,L 27-30,2,2,17,8.5,0,100,8.5,1,RB,
117,Elijah Moore,17,4,17,Sun,10,11,2022-11-20,22-238,NYJ,@,NWE,L 3-10,4,2,17,8.5,0,50,4.3,1,WR,2-34
118,David Njoku,17,3,17,Sun,10,11,2022-11-20,26-133,CLE,@,BUF,L 23-31,3,2,17,8.5,0,66.7,5.7,1,TE,1-29
119,K.J. Osborn,17,3,17,Sun,10,11,2022-11-20,25-163,MIN,,DAL,L 3-40,3,2,17,8.5,0,66.7,5.7,2,WR,5-176
120,MyCole Pruitt,17,1,17,Sun,11,11,2022-11-20,30-241,ATL,,CHI,W 27-24,1,1,17,17,0,100,17,1,TE,5-143
121,Cam Sims,17,1,17,Sun,11,11,2022-11-20,26-318,WAS,@,HOU,W 23-10,1,1,17,17,0,100,17,1,WR,
122,Matt Breida,16,1,16,Sun,10,11,2022-11-20,27-265,NYG,,DET,L 18-31,1,1,16,16,0,100,16,1,RB,
123,Kylen Granson,16,1,16,Sun,11,11,2022-11-20,24-238,IND,,PHI,L 16-17,1,1,16,16,0,100,16,1,TE,4-127
124,Brandon Powell,16,2,16,Sun,10,11,2022-11-20,27-069,LAR,@,NOR,L 20-27,2,2,16,8,0,100,8,,WR,
125,Eric Saubert,16,2,16,Sun,10,11,2022-11-20,28-203,DEN,,LVR,L 16-22 (OT),2,2,16,8,0,100,8,,TE,5-174
126,Tyler Conklin,15,3,15,Sun,10,11,2022-11-20,27-113,NYJ,@,NWE,L 3-10,3,2,15,7.5,0,66.7,5,,TE,5-157
127,Jake Ferguson,15,2,15,Sun,10,11,2022-11-20,23-306,DAL,@,MIN,W 40-3,2,2,15,7.5,0,100,7.5,1,TE,4-129
128,Noah Gray,15,3,15,Sun,10,11,2022-11-20,23-204,KAN,@,LAC,W 30-27,3,2,15,7.5,0,66.7,5,1,TE,5-162
129,Jalen Nailor,15,3,15,Sun,10,11,2022-11-20,23-263,MIN,,DAL,L 3-40,3,1,15,15,0,33.3,5,1,WR,6-191
130,Mike Williams,15,1,15,Sun,10,11,2022-11-20,28-047,LAC,,KAN,L 27-30,1,1,15,15,0,100,15,1,WR,1-7
131,Mo Alie-Cox,14,1,14,Sun,11,11,2022-11-20,29-062,IND,,PHI,L 16-17,1,1,14,14,0,100,14,1,TE,
132,Raheem Blackshear,14,3,14,Sun,11,11,2022-11-20,23-168,CAR,@,BAL,L 3-13,3,2,14,7,0,66.7,4.7,,RB,
133,Dontrell Hilliard,14,1,14,Thu,10,11,2022-11-17,27-264,TEN,@,GNB,W 27-17,1,1,14,14,1,100,14,1,RB,
134,Trey McBride,14,4,14,Mon,11,11,2022-11-21,22-364,ARI,,SFO,L 10-38,4,4,14,3.5,0,100,3.5,,TE,2-55
135,Jalen Reagor,14,1,14,Sun,10,11,2022-11-20,23-322,MIN,,DAL,L 3-40,1,1,14,14,0,100,14,1,WR,1-21
136,Saquon Barkley,13,5,13,Sun,10,11,2022-11-20,25-284,NYG,,DET,L 18-31,5,2,13,6.5,0,40,2.6,,RB,1-2
137,Jahan Dotson,13,2,13,Sun,11,11,2022-11-20,22-243,WAS,@,HOU,W 23-10,2,1,13,13,0,50,6.5,1,WR,1-16
138,KhaDarel Hodge,13,1,13,Sun,11,11,2022-11-20,27-321,ATL,,CHI,W 27-24,1,1,13,13,0,100,13,1,WR,
139,Tom Kennedy,13,1,13,Sun,10,11,2022-11-20,26-114,DET,@,NYG,W 31-18,1,1,13,13,0,100,13,1,WR,
140,James Conner,12,5,12,Mon,11,11,2022-11-21,27-200,ARI,,SFO,L 10-38,5,2,12,6,0,40,2.4,0,RB,3-105
141,D'Andre Swift,12,3,12,Sun,10,11,2022-11-20,23-310,DET,@,NYG,W 31-18,3,3,12,4,0,100,4,0,RB,2-35
142,Adam Trautman,12,3,12,Sun,11,11,2022-11-20,25-288,NOR,,LAR,W 27-20,3,3,12,4,0,100,4,,TE,3-105
143,Garrett Wilson,12,3,12,Sun,10,11,2022-11-20,22-121,NYJ,@,NWE,L 3-10,3,2,12,6,0,66.7,4,1,WR,1-10
144,Chase Claypool,11,3,11,Sun,11,11,2022-11-20,24-136,CHI,@,ATL,L 24-27,3,2,11,5.5,0,66.7,3.7,1,WR,2-49
145,Justin Jackson,11,1,11,Sun,10,11,2022-11-20,26-212,DET,@,NYG,W 31-18,1,1,11,11,0,100,11,1,RB,7-251
146,David Johnson,11,1,11,Sun,11,11,2022-11-20,30-339,NOR,,LAR,W 27-20,1,1,11,11,0,100,11,1,RB,3-86
147,Devin Singletary,11,2,11,Sun,10,11,2022-11-20,25-078,BUF,,CLE,W 31-23,2,2,11,5.5,0,100,5.5,0,RB,3-74
148,Isaiah Spiller,11,2,11,Sun,10,11,2022-11-20,21-103,LAC,,KAN,L 27-30,2,2,11,5.5,0,100,5.5,0,RB,4-123
149,AJ Dillon,10,1,10,Thu,11,11,2022-11-17,24-199,GNB,,TEN,L 17-27,1,1,10,10,0,100,10,0,RB,2-62
150,Curtis Samuel,10,2,10,Sun,11,11,2022-11-20,26-101,WAS,@,HOU,W 23-10,2,1,10,10,0,50,5,1,WR,2-40
151,Jonathan Taylor,10,4,10,Sun,11,11,2022-11-20,23-305,IND,,PHI,L 16-17,4,3,10,3.3,0,75,2.5,0,RB,2-41
152,Tyler Allgeier,9,1,9,Sun,11,11,2022-11-20,22-219,ATL,,CHI,W 27-24,1,1,9,9,0,100,9,0,RB,5-151
153,O.J. Howard,9,3,9,Sun,10,11,2022-11-20,28-002,HOU,,WAS,L 10-23,3,1,9,9,0,33.3,3,,TE,1-19
154,Zach Pascal,9,1,9,Sun,10,11,2022-11-20,27-337,PHI,@,IND,W 17-16,1,1,9,9,0,100,9,,WR,
155,Dameon Pierce,9,3,9,Sun,10,11,2022-11-20,22-274,HOU,,WAS,L 10-23,3,2,9,4.5,0,66.7,3,0,RB,4-107
156,Jaylen Warren,9,1,9,Sun,10,11,2022-11-20,24-019,PIT,,CIN,L 30-37,1,1,9,9,0,100,9,1,RB,
157,Olamide Zaccheaus,9,2,9,Sun,11,11,2022-11-20,25-120,ATL,,CHI,W 27-24,2,1,9,9,0,50,4.5,0,WR,
158,Jordan Akins,8,3,8,Sun,10,11,2022-11-20,30-215,HOU,,WAS,L 10-23,3,2,8,4,0,66.7,2.7,1,TE,3-98
159,Kendrick Bourne,8,1,8,Sun,10,11,2022-11-20,27-108,NWE,,NYJ,W 10-3,1,1,8,8,0,100,8,,WR,
160,Zach Gentry,8,3,8,Sun,10,11,2022-11-20,26-071,PIT,,CIN,L 30-37,3,2,8,4,0,66.7,2.7,,TE,5-141
161,Justice Hill,8,3,8,Sun,10,11,2022-11-20,25-006,BAL,,CAR,W 13-3,3,3,8,2.7,0,100,2.7,0,RB,4-113
162,Taysom Hill,8,1,8,Sun,11,11,2022-11-20,32-089,NOR,,LAR,W 27-20,1,1,8,8,0,100,8,1,TE,
163,Alexander Mattison,8,1,8,Sun,10,11,2022-11-20,24-154,MIN,,DAL,L 3-40,1,1,8,8,0,100,8,,RB,3-102
