,,Receiving,,,,,,,,,,,Receiving,,,,,,,,,
185,O.J. Howard,7,1,Sun,2,2,2022-09-18,27-304,HOU,@,DEN,L 9-16,1,1,7,7,0,100,7,,TE,1-19
186,Jalen Reagor,7,2,Mon,2,2,2022-09-19,23-260,MIN,@,PHI,L 7-24,2,1,7,7,0,50,3.5,0,WR,1-21
187,Jamaal Williams,7,1,Sun,2,2,2022-09-18,27-168,DET,,WAS,W 36-27,1,1,7,7,0,100,7,0,RB,4-134
188,David Bell,6,1,Sun,2,2,2022-09-18,21-278,CLE,,NYJ,L 30-31,1,1,6,6,0,100,6,,WR,3-99
189,AJ Dillon,6,3,Sun,2,2,2022-09-18,24-139,GNB,,CHI,W 27-10,3,1,6,6,0,33.3,2,0,RB,2-62
190,D'Wayne Eskridge,6,1,Sun,2,2,2022-09-18,25-179,SEA,@,SFO,L 7-27,1,1,6,6,0,100,6,,WR,2-56
191,Melvin Gordon,6,1,Sun,2,2,2022-09-18,29-158,DEN,,HOU,W 16-9,1,1,6,6,0,100,6,0,RB,1-15
192,Alexander Mattison,6,5,Mon,2,2,2022-09-19,24-092,MIN,@,PHI,L 7-24,5,3,6,2,0,60,1.2,1,RB,3-102
193,Sony Michel,6,1,Thu,2,2,2022-09-15,27-210,LAC,@,KAN,L 24-27,1,1,6,6,0,100,6,,RB,1-31
194,Dax Milne,6,1,Sun,2,2,2022-09-18,23-087,WAS,@,DET,L 27-36,1,1,6,6,0,100,6,,WR,7-258
195,Quintin Morris,6,1,Mon,2,2,2022-09-19,23-241,BUF,,TEN,W 41-7,1,1,6,6,0,100,6,,TE,
196,Brandon Powell,6,1,Sun,2,2,2022-09-18,27-006,LAR,,ATL,W 31-27,1,1,6,6,0,100,6,,WR,
197,Miles Sanders,6,3,Mon,2,2,2022-09-19,25-141,PHI,,MIN,W 24-7,3,3,6,2,0,100,2,0,RB,2-53
198,Avery Williams,6,1,Sun,2,2,2022-09-18,24-065,ATL,@,LAR,L 27-31,1,1,6,6,0,100,6,,RB,5-183
199,Parker Hesse,5,1,Sun,2,2,2022-09-18,27-115,ATL,@,LAR,L 27-31,1,1,5,5,0,100,5,1,TE,
200,Kyle Philips,5,1,Mon,2,2,2022-09-19,23-094,TEN,@,BUF,L 7-41,1,1,5,5,0,100,5,,WR,5-163
